OBJECTID,NAME_PY,NAME_CH,NAME_FT,X_COORD,Y_COORD,PRES_LOC,TYPE_PY,TYPE_CH,LEV_RANK,BEG_YR,BEG_RULE,END_YR,END_RULE,DYN_PY,DYN_CH,LEV1_PY,LEV1_CH,LEV2_PY,LEV2_CH,CNTY_PY,CNTY_CH,NOTE_ID,OBJ_TYPE,SYS_ID,GEO_SRC,COMPILER,GEOCOMP,CHECKER,ENT_DATE
816,Yongning Zhou,永宁州,永寧州,111.135178,37.510105,山西离石县县治,Zhou,州,6,1911,9,1911,9,Qingchao,清朝,Shanxi,山西,Fenzhou Fu,汾州府,,,120011,POINT,121838,FROM_AC,,孟刚,满志敏,2004/04/05
817,Ningxiang Xian,宁乡县,寧鄉縣,111.188125,37.339596,山西中阳县县治,Xian,县,6,1911,9,1911,9,Qingchao,清朝,Shanxi,山西,Fenzhou Fu,汾州府,,,120011,POINT,121839,FROM_AC,,孟刚,满志敏,2004/04/05
818,Taigu Xian,太谷县,太谷縣,112.552765,37.425507,山西太谷县县治,Xian,县,6,1911,9,1911,9,Qingchao,清朝,Shanxi,山西,Taiyuan Fu,太原府,,,120011,POINT,121840,FROM_AC,,孟刚,满志敏,2004/04/05
819,Qi Xian,祁县,祁縣,112.315300,37.353817,山西祁县县治,Xian,县,6,1911,9,1911,9,Qingchao,清朝,Shanxi,山西,Taiyuan Fu,太原府,,,120011,POINT,121841,FROM_AC,,孟刚,满志敏,2004/04/05
820,Xiangyuan Xian,襄垣县,襄垣縣,113.040764,36.534588,山西襄垣县县治,Xian,县,6,1911,9,1911,9,Qingchao,清朝,Shanxi,山西,Lu'an Fu,潞安府,,,120011,POINT,121842,FROM_AC,,孟刚,满志敏,2004/04/05
821,Licheng Xian,黎城县,黎城縣,113.380028,36.504337,山西黎城县县治,Xian,县,6,1911,9,1911,9,Qingchao,清朝,Shanxi,山西,Lu'an Fu,潞安府,,,120011,POINT,121843,FROM_AC,,孟刚,满志敏,2004/04/05
822,Heshun Xian,和顺县,和順縣,113.566879,37.331421,山西和顺县县治,Xian,县,6,1911,9,1911,9,Qingchao,清朝,Shanxi,山西,Liao Zhou,辽州,,,120011,POINT,121844,FROM_AC,,孟刚,满志敏,2004/04/05
823,Yushe Xian,榆社县,榆社縣,112.963661,37.070942,山西榆社县县治,Xian,县,6,1911,9,1911,9,Qingchao,清朝,Shanxi,山西,Liao Zhou,辽州,,,120011,POINT,121845,FROM_AC,,孟刚,满志敏,2004/04/05
824,Wuxiang Xian,武乡县,武鄉縣,112.916267,36.826817,山西武乡县故县,Xian,县,6,1911,9,1911,9,Qingchao,清朝,Shanxi,山西,Qin Zhou,沁州,,,120011,POINT,121846,FROM_AC,,孟刚,满志敏,2004/04/05
825,Qinyuan Xian,沁源县,沁源縣,112.329559,36.497116,山西沁源县县治,Xian,县,6,1911,9,1911,9,Qingchao,清朝,Shanxi,山西,Qin Zhou,沁州,,,120011,POINT,121847,FROM_AC,,孟刚,满志敏,2004/04/05
826,She Xian,涉县,涉縣,113.670395,36.564140,河北南涉县县治,Xian,县,6,1911,9,1911,9,Qingchao,清朝,Henan,河南,Zhangde Fu,彰德府,,,120012,POINT,121848,FROM_AC,,孟刚,满志敏,2004/04/05
827,Wuan Xian,武安县,武安縣,114.191864,36.697582,河北武安县县治,Xian,县,6,1911,9,1911,9,Qingchao,清朝,Henan,河南,Zhangde Fu,彰德府,,,120012,POINT,121849,FROM_AC,,孟刚,满志敏,2004/04/05
828,Changzi Xian,长子县,長子縣,112.873794,36.119934,山西长子县县治,Xian,县,6,1911,9,1911,9,Qingchao,清朝,Shanxi,山西,Lu'an Fu,潞安府,,,120011,POINT,121850,FROM_AC,,孟刚,满志敏,2004/04/05
829,Tunliu Xian,屯留县,屯留縣,112.882446,36.321949,山西屯留县县治,Xian,县,6,1911,9,1911,9,Qingchao,清朝,Shanxi,山西,Lu'an Fu,潞安府,,,120011,POINT,121851,FROM_AC,,孟刚,满志敏,2004/04/05
830,Lucheng Xian,潞城县,潞城縣,113.221146,36.335094,山西潞城县县治,Xian,县,6,1911,9,1911,9,Qingchao,清朝,Shanxi,山西,Lu'an Fu,潞安府,,,120011,POINT,121852,FROM_AC,,孟刚,满志敏,2004/04/05
831,Huguan Xian,壶关县,壺關縣,113.199623,36.113499,山西壶关县县治,Xian,县,6,1911,9,1911,9,Qingchao,清朝,Shanxi,山西,Lu'an Fu,潞安府,,,120011,POINT,121853,FROM_AC,,孟刚,满志敏,2004/04/05
832,Anyang Xian,安阳县,安陽縣,114.345497,36.098343,河南安阳市市治,Xian,县,6,1911,9,1911,9,Qingchao,清朝,Henan,河南,Zhangde Fu,彰德府,,,120012,POINT,121854,FROM_AC,,孟刚,满志敏,2004/04/05
833,Lin Xian,林县,林縣,113.812805,36.068802,河南林县县治,Xian,县,6,1911,9,1911,9,Qingchao,清朝,Henan,河南,Zhangde Fu,彰德府,,,120012,POINT,121855,FROM_AC,,孟刚,满志敏,2004/04/05
834,Linfen Xian,临汾县,臨汾縣,111.515434,36.078037,山西临汾市市治,Xian,县,6,1911,9,1911,9,Qingchao,清朝,Shanxi,山西,Pingyang Fu,平阳府,,,120011,POINT,121856,FROM_AC,,孟刚,满志敏,2004/04/05
835,Hongdong Xian,洪洞县,洪洞縣,111.682915,36.259399,山西洪洞县县治,Xian,县,6,1911,9,1911,9,Qingchao,清朝,Shanxi,山西,Pingyang Fu,平阳府,,,120011,POINT,121857,FROM_AC,,孟刚,满志敏,2004/04/05
836,Fushan Xian,浮山县,浮山縣,111.842438,35.967442,山西浮山县县治,Xian,县,6,1911,9,1911,9,Qingchao,清朝,Shanxi,山西,Pingyang Fu,平阳府,,,120011,POINT,121858,FROM_AC,,孟刚,满志敏,2004/04/05
837,Yueyang Xian,岳阳县,岳陽縣,111.916923,36.282902,山西古县县治,Xian,县,6,1911,9,1911,9,Qingchao,清朝,Shanxi,山西,Pingyang Fu,平阳府,,,120011,POINT,121859,FROM_AC,,孟刚,满志敏,2004/04/05
838,Xiangling Xian,襄陵县,襄陵縣,111.396492,36.023994,山西襄汾县县治,Xian,县,6,1911,9,1911,9,Qingchao,清朝,Shanxi,山西,Pingyang Fu,平阳府,,,120011,POINT,121860,FROM_AC,,孟刚,满志敏,2004/04/05
839,Fenxi Xian,汾西县,汾西縣,111.562729,36.650539,山西汾西县县治,Xian,县,6,1911,9,1911,9,Qingchao,清朝,Shanxi,山西,Pingyang Fu,平阳府,,,120011,POINT,121861,FROM_AC,,孟刚,满志敏,2004/04/05
840,Xiangning Xian,乡宁县,鄉寧縣,110.832985,35.973175,山西乡宁县县治,Xian,县,6,1911,9,1911,9,Qingchao,清朝,Shanxi,山西,Pingyang Fu,平阳府,,,120011,POINT,121862,FROM_AC,,孟刚,满志敏,2004/04/05
841,Ji Zhou,吉州,吉州,110.675171,36.095631,山西吉县县治,Zhou,州,6,1911,9,1911,9,Qingchao,清朝,Shanxi,山西,Pingyang Fu,平阳府,,,120011,POINT,121863,FROM_AC,,孟刚,满志敏,2004/04/05
842,Shilou Xian,石楼县,石樓縣,110.826668,36.995705,山西石楼县县治,Xian,县,6,1911,9,1911,9,Qingchao,清朝,Shanxi,山西,Fenzhou Fu,汾州府,,,120011,POINT,121864,FROM_AC,,孟刚,满志敏,2004/04/05
843,Daning Xian,大宁县,大寧縣,110.742805,36.469944,山西大宁县县治,Xian,县,6,1911,9,1911,9,Qingchao,清朝,Shanxi,山西,Xi Zhou,隰州,,,120011,POINT,121865,FROM_AC,,孟刚,满志敏,2004/04/05
844,Pu Xian,蒲县,蒲縣,111.096802,36.415764,山西蒲县县治,Xian,县,6,1911,9,1911,9,Qingchao,清朝,Shanxi,山西,Xi Zhou,隰州,,,120011,POINT,121866,FROM_AC,,孟刚,满志敏,2004/04/05
